Channel,MAE,MSE,RMSE,MAPE,MSPE
Channel_0,0.19835526,0.10927992,0.33057514,0.27711383,0.39077488
Channel_1,0.26993728,0.11515396,0.33934343,0.59809864,66.999794
Channel_2,0.46279234,0.38568783,0.6210377,3.4213731,338.016
Channel_3,0.5985924,0.5310392,0.72872436,2.6208591,465.91708
Channel_4,0.7364744,0.8327593,0.91255647,3.8355877,2334.8413
Channel_5,0.21365842,0.08121771,0.2849872,3.7377813,279.34143
Channel_6,0.15063047,0.050872717,0.22554982,0.14366704,0.08558948
Channel_7,0.5752185,0.5951121,0.7714351,1.4046974,74.93115
